Pencil
Eraser
Sharpener
Ruler
Compass
Protractor
Notebook
Textbook
Blackboard
Chalk
Duster
LunchBox
WaterBottle
Uniform
Shoes
Homework
TimeTable
bells
Whiteboard
SchoolBus
Playground
school

